qid,question,doc_id,gold_para_ids,retrieved_top3,hit@1,hit@3,hit@10,p@1,p@3,p@10,mrr@10,ndcg@10,latency_ms
1706.03762_q1,Which mechanism that prevents parallelization during training did the Transformer architecture dispense with?,1706.03762,[8],"[('1706.03762', 8), ('1706.03762', 9), ('2003.10555', 33)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,29.0157999843359
1706.03762_q2,What was added to the system to enable the model to make use of the order of tokens in the sequence?,1706.03762,[41],"[('1706.03762', 41), ('1810.04805', 23), ('1706.03762', 38)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,34.31270003784448
1706.03762_q3,How many identical layers does the Encoder stack consist of?,1706.03762,"[15, 16]","[('1706.03762', 15), ('1706.03762', 16), ('1706.03762', 41)]",True,True,True,1.0,0.6666666666666666,0.2,1.0,1.0,27.750799898058176
1706.03762_q4,Which function mathematically describes the attention mechanism?,1706.03762,[17],"[('1706.03762', 17), ('1706.03762', 22), ('1706.03762', 7)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,25.464999955147505
1706.03762_q5,What BLEU score did the big Transformer model establish as the new state-of-the-art on the English-to-German task?,1706.03762,[65],"[('1706.03762', 65), ('1706.03762', 66), ('1706.03762', 59)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,35.08760000113398
1805.08392_q1,What does the paper compute for symmetric algebras with radical cube zero?,1805.08392,[1],"[('1805.08392', 1), ('1805.08392', 0), ('1805.08392', 12)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,27.32069999910891
1805.08392_q2,"In tilting theory, what is a tilting complex described as?",1805.08392,[2],"[('1805.08392', 17), ('1805.08392', 21), ('1805.08392', 2)]",False,True,True,0.0,0.3333333333333333,0.1,0.3333333333333333,0.5,26.259199948981404
1805.08392_q3,"For a symmetric algebra A, how are tilting complexes related to silting complexes?",1805.08392,[3],"[('1805.08392', 3), ('1805.08392', 6), ('1805.08392', 31)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,29.58630002103746
1805.08392_q4,What does Theorem 1.2 say the number # 2-tilt A depends on?,1805.08392,[7],"[('1805.08392', 7), ('1805.08392', 98), ('1805.08392', 5)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,28.10309990309179
1805.08392_q5,How is the double quiver QG of a graph G defined?,1805.08392,[35],"[('1805.08392', 35), ('1805.08392', 36), ('1805.08392', 38)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,27.906300034374
1810.04805_q1,What does BERT stand for?,1810.04805,[2],"[('1810.04805', 143), ('1910.01108', 23), ('2003.10555', 52)]",False,False,False,0.0,0.0,0.0,0.0,0.0,24.351899977773428
1810.04805_q2,What kind of representations does BERT pre-train?,1810.04805,[2],"[('1810.04805', 17), ('1810.04805', 7), ('1810.04805', 8)]",False,False,True,0.0,0.0,0.1,0.1111111111111111,0.3010299956639812,22.263000020757318
1810.04805_q3,What type of pre-training objective does BERT use to remove the unidirectionality constraint?,1810.04805,[5],"[('1810.04805', 70), ('1910.01108', 46), ('1810.04805', 17)]",False,False,True,0.0,0.0,0.1,0.2,0.38685280723454163,28.963300050236285
1810.04805_q4,What additional task is used along with MLM to pre-train text-pair representations?,1810.04805,[6],"[('1810.04805', 11), ('1810.04805', 6), ('1810.04805', 4)]",False,True,True,0.0,0.3333333333333333,0.1,0.5,0.6309297535714575,30.816599959507585
1810.04805_q5,What limitation of standard language models does BERT aim to address?,1810.04805,[5],"[('1810.04805', 84), ('1706.03762', 106), ('1810.04805', 17)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.886300067417324
1905.03777_q1,What kind of entropy does the paper introduce?,1905.03777,[2],"[('1905.03777', 42), ('1905.03777', 51), ('2103.01955', 114)]",False,False,False,0.0,0.0,0.0,0.0,0.0,24.216199992224574
1905.03777_q2,What does the new construction add compared to covariant holographic entanglement entropy?,1905.03777,[2],"[('1905.03777', 53), ('1905.03777', 21), ('1905.03777', 4)]",False,False,True,0.0,0.0,0.1,0.2,0.38685280723454163,29.469599947333336
1905.03777_q3,What key property of Shannon entropy does holographic Shannon entropy obey?,1905.03777,[2],"[('1905.03777', 21), ('1905.03777', 4), ('1905.03777', 0)]",False,False,True,0.0,0.0,0.1,0.2,0.38685280723454163,26.453100028447807
1905.03777_q4,"In the static case, what is said to exist on the boundary?",1905.03777,[2],"[('2201.12345', 207), ('2201.12345', 130), ('2201.12345', 227)]",False,False,False,0.0,0.0,0.0,0.0,0.0,25.362799991853535
1905.03777_q5,The holographic Shannon entropy of a region A is equal to the outer entropy of what?,1905.03777,[2],"[('1905.03777', 0), ('1905.03777', 20), ('1905.03777', 21)]",False,False,True,0.0,0.0,0.1,0.2,0.38685280723454163,30.552299926057458
1910.01108_q1,What is the name of the smaller model proposed in the paper?,1910.01108,[2],"[('2006.16928', 4), ('2201.12345', 184), ('2006.16928', 81)]",False,False,False,0.0,0.0,0.0,0.0,0.0,23.614399950020015
1910.01108_q2,By how much does the method reduce the size of a BERT model?,1910.01108,[2],"[('1810.04805', 73), ('2003.10555', 44), ('2003.10555', 27)]",False,False,False,0.0,0.0,0.0,0.0,0.0,28.321299934759736
1910.01108_q3,What percent of language understanding capabilities does DistilBERT retain?,1910.01108,[2],"[('1910.01108', 26), ('1910.01108', 43), ('1910.01108', 19)]",False,False,False,0.0,0.0,0.0,0.0,0.0,30.107200029306114
1910.01108_q4,What losses are combined in the triple loss?,1910.01108,[2],"[('1910.01108', 38), ('2102.09554', 269), ('2102.09554', 270)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.2717999285087
1910.01108_q5,What does the paper say about the speed of the smaller models at inference time?,1910.01108,[7],"[('1706.03762', 67), ('1810.04805', 94), ('2003.10555', 42)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.972300023771822
2003.10555_q1,What is the name of the pre-training task proposed as an alternative to MLM?,2003.10555,[4],"[('1810.04805', 190), ('1810.04805', 148), ('2003.10555', 132)]",False,False,False,0.0,0.0,0.0,0.0,0.0,35.340000060386956
2003.10555_q2,"In replaced token detection, what does the model predict for each token?",2003.10555,[4],"[('2003.10555', 12), ('2003.10555', 14), ('2003.10555', 7)]",False,False,True,0.0,0.0,0.1,0.1111111111111111,0.3010299956639812,27.05699997022748
2003.10555_q3,Why is replaced token detection more efficient than MLM?,2003.10555,[4],"[('2003.10555', 6), ('2003.10555', 12), ('2003.10555', 65)]",False,False,True,0.0,0.0,0.1,0.2,0.38685280723454163,24.802800035104156
2003.10555_q4,How does the method corrupt the input in replaced token detection?,2003.10555,[4],"[('2003.10555', 12), ('2003.10555', 6), ('2003.10555', 152)]",False,False,True,0.0,0.0,0.1,0.14285714285714285,0.3333333333333333,26.904100086539984
2003.10555_q5,How does MLM typically corrupt the input?,2003.10555,[4],"[('2003.10555', 17), ('2003.10555', 6), ('2003.10555', 66)]",False,False,True,0.0,0.0,0.1,0.2,0.38685280723454163,27.354100020602345
2006.16928_q1,What is the paper's goal for COVID-19 cases in Arizona?,2006.16928,[3],"[('2006.16928', 3), ('2006.16928', 67), ('2006.16928', 53)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,26.430200086906552
2006.16928_q2,What kind of model is developed in the paper?,2006.16928,[3],"[('2006.16928', 81), ('2006.16928', 77), ('1910.01108', 56)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.454800041392446
2006.16928_q3,What prediction accuracy does the model report?,2006.16928,[3],"[('1810.04805', 188), ('2003.10555', 61), ('1910.01108', 11)]",False,False,False,0.0,0.0,0.0,0.0,0.0,25.671100011095405
2006.16928_q4,What data source is used to validate the PDE model?,2006.16928,[3],"[('2006.16928', 45), ('2006.16928', 10), ('2006.16928', 88)]",False,False,False,0.0,0.0,0.0,0.0,0.0,31.85470006428659
2006.16928_q5,What personal precautions are mentioned as being studied for their effectiveness?,2006.16928,[3],"[('2006.16928', 52), ('2006.16928', 72), ('2006.16928', 33)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.26419998705387
2102.09554_q1,What does DIR stand for?,2102.09554,[1],"[('2102.09554', 179), ('2102.09554', 177), ('2102.09554', 5)]",False,False,False,0.0,0.0,0.0,0.0,0.0,25.459500029683113
2102.09554_q2,What kind of targets does DIR focus on?,2102.09554,[1],"[('2102.09554', 326), ('2102.09554', 36), ('2102.09554', 324)]",False,False,False,0.0,0.0,0.0,0.0,0.0,25.39329999126494
2102.09554_q3,What strategy do the authors propose for labels and features?,2102.09554,[1],"[('2102.09554', 158), ('1810.04805', 129), ('1810.04805', 110)]",False,False,False,0.0,0.0,0.0,0.0,0.0,28.428200050257146
2102.09554_q4,Which application domains are mentioned for DIR datasets?,2102.09554,[1],"[('2102.09554', 175), ('2102.09554', 174), ('2102.09554', 69)]",False,False,False,0.0,0.0,0.0,0.0,0.0,27.937900042161345
2102.09554_q5,What does the paper say about data imbalance in the real world?,2102.09554,[2],"[('2102.09554', 2), ('2102.09554', 123), ('2102.09554', 312)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,27.75970008224249
2103.01955_q1,What algorithm is studied in cooperative multi-agent settings?,2103.01955,[3],"[('2103.01955', 9), ('2103.01955', 0), ('2103.01955', 13)]",False,False,False,0.0,0.0,0.0,0.0,0.0,25.60240007005632
2103.01955_q2,Why is PPO less used in multi-agent settings according to the paper?,2103.01955,[3],"[('2103.01955', 7), ('2103.01955', 14), ('2103.01955', 8)]",False,False,False,0.0,0.0,0.0,0.0,0.0,30.35690006799996
2103.01955_q3,How many multi-agent testbeds are used to evaluate PPO-based algorithms?,2103.01955,[3],"[('2103.01955', 10), ('2103.01955', 8), ('2103.01955', 14)]",False,False,False,0.0,0.0,0.0,0.0,0.0,34.9282999522984
2103.01955_q4,What does the paper say about PPO compared to off-policy methods?,2103.01955,[3],"[('2103.01955', 27), ('2103.01955', 6), ('2103.01955', 10)]",False,False,False,0.0,0.0,0.0,0.0,0.0,29.91070004645735
2103.01955_q5,What does the paper analyze through ablation studies?,2103.01955,[3],"[('1810.04805', 145), ('1910.01108', 33), ('2104.07302', 83)]",False,False,False,0.0,0.0,0.0,0.0,0.0,29.411799972876906
2104.07302_q1,What task does TransferNet focus on?,2104.07302,[0],"[('2104.07302', 89), ('2104.07302', 29), ('2104.07302', 34)]",False,False,False,0.0,0.0,0.0,0.0,0.0,52.30670003220439
2104.07302_q2,Why is multi-hop question answering challenging?,2104.07302,[3],"[('2104.07302', 3), ('2104.07302', 16), ('2104.07302', 115)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,27.949400013312697
2104.07302_q3,How can relations be represented in multi-hop QA?,2104.07302,[3],"[('2104.07302', 10), ('2104.07302', 3), ('2104.07302', 14)]",False,True,True,0.0,0.3333333333333333,0.1,0.5,0.6309297535714575,27.821199968457222
2104.07302_q4,What does TransferNet do at each step?,2104.07302,[3],"[('2104.07302', 20), ('2104.07302', 31), ('2104.07302', 64)]",False,False,False,0.0,0.0,0.0,0.0,0.0,31.67369996663183
2104.07302_q5,What result is reported on MetaQA for 2-hop and 3-hop questions?,2104.07302,[3],"[('2104.07302', 83), ('2104.07302', 54), ('2104.07302', 61)]",False,False,False,0.0,0.0,0.0,0.0,0.0,32.596500008367
2201.12345_q1,What problem is considered in the paper?,2201.12345,[2],"[('2104.07302', 111), ('2006.16928', 4), ('2201.12345', 6)]",False,False,False,0.0,0.0,0.0,0.0,0.0,25.238599977456033
2201.12345_q2,What kind of scheme is proposed to find an approximate solution?,2201.12345,[2],"[('2201.12345', 128), ('2201.12345', 233), ('2201.12345', 240)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.85290004592389
2201.12345_q3,How are nonlinear terms dependent on the gradient approximated?,2201.12345,[2],"[('2201.12345', 128), ('2201.12345', 92), ('2103.01955', 95)]",False,False,False,0.0,0.0,0.0,0.0,0.0,27.9179000062868
2201.12345_q4,What is proved about the iteration process for each temporal step?,2201.12345,[2],"[('2201.12345', 157), ('2103.01955', 106), ('2201.12345', 184)]",False,False,False,0.0,0.0,0.0,0.0,0.0,30.977700022049248
2201.12345_q5,What type of estimates are obtained for the corresponding linear discrete problem?,2201.12345,[2],"[('2201.12345', 91), ('2201.12345', 66), ('2201.12345', 6)]",False,False,False,0.0,0.0,0.0,0.0,0.0,26.540399994701147
